state,sector,date,value
Johor,domestic,01/01/2022,867
Kedah,domestic,01/01/2022,560
Kelantan,domestic,01/01/2022,162
Melaka,domestic,01/01/2022,228
Negeri Sembilan,domestic,01/01/2022,307
Pahang,domestic,01/01/2022,385
Perak,domestic,01/01/2022,699
Perlis,domestic,01/01/2022,80
Pulau Pinang,domestic,01/01/2022,534
Sabah,domestic,01/01/2022,394
Sarawak,domestic,01/01/2022,602
Selangor,domestic,01/01/2022,2230
Terengganu,domestic,01/01/2022,286
Labuan,domestic,01/01/2022,19
Kuala Lumpur,domestic,01/01/2022,
Putrajaya,domestic,01/01/2022,
